mode_name,label,omega_Q_meV,Gamma_Q_HWHM_meV,Q_x,Q_y,Q_z,expected_peak_barns,mode_type,temperature_K
Mode_1_Ti-O_soft,Ti-O soft mode (Q=0.1),9.8,0.75,0.1,0.0,0.0,550.0,polar_soft,200
Mode_2_A-O_TO2_gamma,A-site-O TO2 (Q=0),22.8,0.65,0.0,0.0,0.0,1.0,optical_high,200
Mode_3_A-O_TO2,A-O TO2 (Q=0.2),20.6,0.7,0.2,0.0,0.0,1.5,optical_high,200
Mode_4_TA,Acoustic TA (Q=0.4),9.6,0.45,0.4,0.0,0.0,650.0,acoustic,200
Mode_5_A-O_TO2,A-O TO2 (Q=0.5),26.1,0.85,0.5,0.0,0.0,0.75,optical_high,200
Mode_6_E_TO,E-symmetry TO,14.2,0.95,0.15,0.15,0.0,220.0,polar_optical,200
