mode_name,label,omega_Q_meV,Gamma_Q_HWHM_meV,Q_x,Q_y,Q_z,expected_peak_barns,mode_type,temperature_K
Mode_1_Ti-O_soft,Ti-O soft mode (Q=0.1),3.5,1.8,0.1,0.0,0.0,1200.0,polar_soft,400
Mode_1b_central_peak,Central peak (Q=0.1),0.0,0.3,0.1,0.0,0.0,2500.0,central_peak,400
Mode_2_A-O_TO2_gamma,A-site-O TO2 (Q=0),21.8,1.1,0.0,0.0,0.0,2.5,optical_high,400
Mode_3_A-O_TO2,A-O TO2 (Q=0.2),19.8,1.2,0.2,0.0,0.0,3.5,optical_high,400
Mode_4_TA,Acoustic TA (Q=0.4),9.0,0.8,0.4,0.0,0.0,1000.0,acoustic,400
Mode_5_A-O_TO2,A-O TO2 (Q=0.5),25.0,1.4,0.5,0.0,0.0,1.8,optical_high,400
