mode,A_THz,B_THz_per_K,C_THz_per_K2,Gamma300_THz,R2,A_pub,B_pub,C_pub,Gamma300_pub,R2_pub
TO1 (soft),0.0400,1.043e-04,1.643e-06,0.220,0.9993,0.04,0.0001,1.6e-06,0.22,0.999
TO2,0.0280,1.443e-04,6.429e-07,0.130,0.9996,0.028,0.00014,6.4e-07,0.13,0.999
