NEUTRON ENERGY LOSS    meV,Neutrons per 15 Minutes
-0.021498093, 206.82674892877657
0.3792351979738786, 182.7799905761784
0.8248788891670227, 151.05024074919385
1.2813452505411345, 112.30508150133262
2.0285512346678845, 56.526916790599756
2.472722453727565, 47.18021586441478
3.0444833831519755, 40.84232768394861
3.9106651156626846, 36.51381178861192
4.494353069368163, 43.87322751166937
4.985054407845331, 47.22218132021854
5.840413470175077, 49.90907484575857
7.008231119226068, 42.91299162163358
7.615110509033618, 35.239387157098065
8.518987528, 27.904819401292855
9.321632088112732, 21.90486357545683
9.894423748030567, 14.898841164430962
10.547317892008895, 20.254958549909446
10.966751579226365, 26.943479157156958
11.549408802438418, 34.97102911077411
11.925993550572056, 48.00627273128856
12.570641850602975, 58.70746396124454
12.76022263778658, 64.38991798330215
13.554105988544165,64.06910312
14.998748398686551, 49.05982654278267
15.874206705638095, 38.71810257240881
16.644824996686935, 32.049460338963115
18.48563603433805, 17.38087700440269
19.582186032129343, 13.724360578976047
20.137455273658947, 18.076620087464846
19.972170276677517, 18.073859202214607
