NEUTRON ENERGY LOSS    meV,Neutrons per 15 Minutes
8.414905389562723, 59.66538474180717
7.923318249716042, 25.406216787737293
-1.081418664, 104.93048022877426
-0.339436172, 172.89550668901816
-0.038056003, 188.66866077200362
0.40093934778877127, 162.05611982162617
0.9101301281559637, 123.21817922843461
1.4299123104960794, 76.50023556738867
1.9478683890477608, 31.140913124938322
2.4219979766770035, 18.388499928781926
2.855003706990691, 16.232236575397962
3.367189297570917, 15.166157183709657
3.901142045309289, 17.905312866362067
4.362488906419486, 14.663248200374682
4.904476510826971, 11.424470521206501
5.305488903, 13.071250917617107
5.811100519709139, 16.89620791287291
6.430441880594726, 16.10623541399596
6.855412754, 19.92790542243256
7.367598344819529, 18.861826030744254
8.652225837907725, 143.09897117312556
9.315612822170362, 129.53905488172325
9.511663324896737, 43.67748085330177
10.503822035229197, 25.511400365951147
10.031299418933775, 17.06822688974347
10.891102126680474, 17.375012326200533
11.509713046050686, 17.128488314761825
12.478497627891185, 16.35275942543467
12.968550840555578, 11.753169203124799
13.50980800344769,9.057840011
13.98671326883535, 14.240322562973148
14.420449440664415, 11.540610722150973
14.827305364727712, 8.839803219055739
14.908311328782686, 8.571365962155795
15.392886230081777, 8.047639395632643
15.926473757062462, 11.058519322004173
16.43719846461194, 11.07933690519232
17.029294356974077, 10.559992987761433
17.567629753804688, 10.038457745784399
17.993331068964643, 13.316679266782785
18.534588231856752, 10.621350075052845
19.15356437198465, 10.103101819894988
19.575978700325415,15.82684153
20.013367079731346, 10.409887256352079
